CTY_SCR_NAME,CTY_SCR_NBR_DY_01,CTY_SCR_NBR_DY_02,CTY_SCR_NBR_WK_01,CTY_SCR_NBR_WK_02,CTY_SCR_NBR_MO_01,CTY_SCR_NBR_MO_02,CTY_SCR_NBR_QT_01,CTY_SCR_NBR_QT_02,CTY_SCR_TGT_01,CTY_SCR_AVG_01,CTY_SCR_AVG_02,CTY_SCR_DEV_01,CTY_SCR_DEV_02,ETL_LOAD_DATE,ETL_LOAD_IS_ACTIVE_FLAG,CTY_SCR_OPEN_DATA_SOURCE,CTY_SCR_METRIC_TYPE,CTY_SCR_DAY,CTY_SCR_WEEK,CTY_SCR_MONTH,CTY_SCR_QUARTER,CTY_SCR_DAY_NAME
HOMICIDES (TREND),.0000000,,.0000000,,.1935484,,.1086957,,,.0645161,.0923913,.3068063,.3086136,2016-06-27 00:00:00,N,https://data.cityofboston.gov/Public-Safety/Crime-Incident-Reports/7cdf-6fgx,Historical,,,1.9184989,3.6892435,Friday
CITY SERVICES SATISFACTION SURVEYS,2.0000000,4.0000000,3.0370370,27.0000000,3.7111110,135.0000000,3.5994890,392.0000000,4.0000000,,,,,2016-06-28 00:00:00,N,,Target,.5000000,.7592593,.9277778,.8998723,Monday
BFD RESPONSE TIME,.8451327,226.0000000,.8246154,1625.0000000,.8403541,7003.0000000,.8448984,19729.0000000,.9000000,,,,,2016-06-28 00:00:00,N,https://data.cityofboston.gov/Public-Safety/Crime-Incident-Reports/7cdf-6fgx,Target,.9390363,.9162393,.9337268,.9387760,Monday
EMS RESPONSE TIME,5.7750000,80.0000000,6.2333333,583.0000000,6.2166667,2643.0000000,6.2666667,7514.0000000,6.0000000,,,,,2016-06-28 00:00:00,N,https://data.cityofboston.gov/Public-Safety/Crime-Incident-Reports/7cdf-6fgx,Target,1.0389610,.9625669,.9651474,.9574468,Monday
311 CALL CENTER PERFORMANCE,.9361330,1143.0000000,.9087392,5687.0000000,.9050554,23360.0000000,.9192492,67182.0000000,.9500000,,,,,2016-06-28 00:00:00,N,,Target,.9854032,.9565676,.9526899,.9676307,Monday
BFD INCIDENTS,230.0000000,,239.5714285,,233.3870967,,221.6413043,,,219.5806451,216.3478260,26.2154842,25.6246940,2016-06-28 00:00:00,N,https://data.cityofboston.gov/Public-Safety/Crime-Incident-Reports/7cdf-6fgx,Historical,1.0686788,1.0259827,1.0531693,1.0917303,Monday
EMS INCIDENTS,284.0000000,,333.0000000,,339.0967741,,329.3913043,,,317.1612903,313.8804347,28.2537275,27.7167155,2016-06-28 00:00:00,N,https://data.cityofboston.gov/Public-Safety/Crime-Incident-Reports/7cdf-6fgx,Historical,1.2162501,1.0372823,1.0186326,1.0370558,Monday
GRAFFITI ON-TIME %,1.0000000,29.0000000,.9852941,68.0000000,.8821293,263.0000000,.9014455,760.0000000,.8000000,,,,,2016-06-28 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,1.2500000,1.2316176,1.1026616,1.1268069,Monday
MISSED TRASH ON-TIME %,.9375000,32.0000000,.9680851,188.0000000,.9729258,1145.0000000,.9739893,3190.0000000,.8000000,,,,,2016-06-28 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,1.1718750,1.2101064,1.2161573,1.2174866,Monday
PARKS MAINTENANCE ON-TIME %,.8787879,33.0000000,.8986486,148.0000000,.8034026,529.0000000,.7417763,1216.0000000,.8000000,,,,,2016-06-28 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,1.0984849,1.1233108,1.0042533,.9272204,Monday
POTHOLE ON-TIME %,.7500000,4.0000000,.7878788,33.0000000,.8815166,210.0000000,.8288934,976.0000000,.8000000,,,,,2016-06-28 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,.9375000,.9848485,1.1018958,1.0361168,Monday
SIGN INSTALLATION ON-TIME %,1.0000000,9.0000000,.9090909,44.0000000,.7897436,195.0000000,.8307692,585.0000000,.8000000,,,,,2016-06-28 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,1.2500000,1.1363636,.9871795,1.0384615,Monday
SIGNAL REPAIR ON-TIME %,.5555556,9.0000000,.8484848,66.0000000,.8575949,316.0000000,.8707415,998.0000000,.8000000,,,,,2016-06-28 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,.6944445,1.0606060,1.0719936,1.0884269,Monday
STREETLIGHT ON-TIME %,.7619048,21.0000000,.4545455,88.0000000,.6666667,243.0000000,.6517286,781.0000000,.8000000,,,,,2016-06-28 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,.9523810,.5681819,.8333334,.8146608,Monday
TREE MAINTENANCE ON-TIME %,.9411765,50.0000000,.9739130,115.0000000,.9397590,581.0000000,.9528112,996.0000000,.8000000,,,,,2016-06-28 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,1.1764706,1.2173913,1.1746988,1.1910140,Monday
