Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
39282336,05/25/2018 09:05:00 AM,05/25/2018 09:15:00 AM,DEP,Department of Environmental Protection,Water Quality,Other Water Problem (Use Comments) (QZZ),,10464,42 SCHOFIELD STREET,SCHOFIELD STREET,DEAD END,WILLIAM AVE,,,ADDRESS,BRONX,,N/A,Closed,,05/25/2018 09:15:00 AM,10 BRONX,BRONX,1042811,247036,Unspecified,BRONX,,,,,,,,40.84453770013693,-73.7883434755455,"(40.84453770013693, -73.7883434755455)"
39280820,05/24/2018 01:25:00 PM,05/31/2018 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Bitter/Metallic (QA3)",,10024,129 WEST   89 STREET,WEST   89 STREET,COLUMBUS AVE,AMSTERDAM AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,05/31/2018 12:00:00 AM,07 MANHATTAN,MANHATTAN,992072,226676,Unspecified,MANHATTAN,,,,,,,,40.78884593654876,-73.97175268735779,"(40.78884593654876, -73.97175268735779)"
39280788,05/24/2018 03:46:00 PM,05/29/2018 01:16:00 PM,DEP,Department of Environmental Protection,Water Quality,unknown odor/taste in drinking water (QA6),,11208,1321 DUMONT AVENUE,DUMONT AVENUE,PINE ST,CRESCENT ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,05/29/2018 01:16:00 PM,05 BROOKLYN,BROOKLYN,1020559,183408,Unspecified,BROOKLYN,,,,,,,,40.67001487838786,-73.86911215447036,"(40.67001487838786, -73.86911215447036)"
39279818,05/24/2018 02:01:00 PM,06/06/2018 08:51:00 AM,DEP,Department of Environmental Protection,Water Quality,Cloudy Or Milky Water (QB1),,11224,2816 WEST    8 STREET,WEST    8 STREET,SHEEPSHEAD BAY RD,PEDESTRIAN OVPS,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/06/2018 08:51:00 AM,13 BROOKLYN,BROOKLYN,990839,150259,Unspecified,BROOKLYN,,,,,,,,40.57909983470536,-73.97628010251854,"(40.57909983470536, -73.97628010251854)"
39273098,05/24/2018 04:47:00 PM,05/25/2018 09:51:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Chemical (QA2)",,11234,3900 KINGS HIGHWAY,KINGS HIGHWAY,FLATBUSH AVE,BEND,,,ADDRESS,BROOKLYN,,N/A,Closed,,05/25/2018 09:51:00 AM,18 BROOKLYN,BROOKLYN,1002007,166173,Unspecified,BROOKLYN,,,,,,,,40.62276518837691,-73.93603433007436,"(40.62276518837691, -73.93603433007436)"
39272351,05/24/2018 09:37:00 AM,06/06/2018 08:51:00 AM,DEP,Department of Environmental Protection,Water Quality,Clear Water With Other Particles (Use Comments) (QEZ),,11375,69-45 108 STREET,108 STREET,69 RD,JEWEL AVE,,,ADDRESS,Forest Hills,,N/A,Closed,,06/06/2018 08:51:00 AM,06 QUEENS,QUEENS,1027239,203023,Unspecified,QUEENS,,,,,,,,40.72382348848103,-73.84490673132645,"(40.72382348848103, -73.84490673132645)"
39271971,05/24/2018 04:05:00 PM,05/25/2018 10:53:00 AM,DEP,Department of Environmental Protection,Water Quality,Cloudy Or Milky Water (QB1),,10303,349 SOUTH AVENUE,SOUTH AVENUE,BRABANT ST,CONTINENTAL PL,,,ADDRESS,STATEN ISLAND,,N/A,Closed,,05/25/2018 10:53:00 AM,01 STATEN ISLAND,STATEN ISLAND,938071,169141,Unspecified,STATEN ISLAND,,,,,,,,40.63080915291074,-74.16636978201828,"(40.63080915291074, -74.16636978201828)"
39269095,05/23/2018 03:34:00 PM,05/24/2018 07:45:00 AM,DEP,Department of Environmental Protection,Water Quality,Cloudy Or Milky Water (QB1),,10039,260 WEST  153 STREET,WEST  153 STREET,MACOMBS PL,FREDERICK DOUGLASS BLVD,,,ADDRESS,NEW YORK,,N/A,Closed,,05/24/2018 07:45:00 AM,10 MANHATTAN,MANHATTAN,1001636,240731,Unspecified,MANHATTAN,,,,,,,,40.82740937295622,-73.93717815939885,"(40.82740937295622, -73.93717815939885)"
39268250,05/23/2018 03:02:00 PM,06/18/2018 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,"No Sampling Required, Requested Information (QG2)",,11357,151-79 19 AVENUE,19 AVENUE,MURRAY ST,154 ST,,,ADDRESS,Whitestone,,N/A,Closed,,06/18/2018 12:00:00 AM,07 QUEENS,QUEENS,1036496,224161,Unspecified,QUEENS,,,,,,,,40.7817919753888,-73.81134570880408,"(40.7817919753888, -73.81134570880408)"
39267073,05/23/2018 04:29:00 PM,05/24/2018 07:53:00 AM,DEP,Department of Environmental Protection,Water Quality,"No Sampling Required, Requested Information (QG2)",,11230,1331 EAST    9 STREET,EAST    9 STREET,AVENUE M,RODER AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,05/24/2018 07:53:00 AM,12 BROOKLYN,BROOKLYN,993807,163917,Unspecified,BROOKLYN,,,,,,,,40.61658557881302,-73.9655762079549,"(40.61658557881302, -73.9655762079549)"
39266157,05/23/2018 11:12:00 AM,05/24/2018 09:01:00 AM,DEP,Department of Environmental Protection,Water Quality,Cloudy Or Milky Water (QB1),,10026,160 WEST  116 STREET,WEST  116 STREET,LENOX AVE,ADAM CLAYTON POWELL JR BLVD,,,ADDRESS,NEW YORK,,N/A,Closed,,05/24/2018 09:01:00 AM,10 MANHATTAN,MANHATTAN,997713,231735,Unspecified,MANHATTAN,,,,,,,,40.802724724142244,-73.95137140433847,"(40.802724724142244, -73.95137140433847)"
39266139,05/23/2018 07:36:00 AM,06/06/2018 08:50:00 AM,DEP,Department of Environmental Protection,Water Quality,Cloudy Or Milky Water (QB1),,11370,24-26 82 STREET,82 STREET,24 AVE,25 AVE,,,ADDRESS,East Elmhurst,,N/A,Closed,,06/06/2018 08:50:00 AM,03 QUEENS,QUEENS,1015571,217686,Unspecified,QUEENS,,,,,,,,40.76411873136656,-73.88693354126163,"(40.76411873136656, -73.88693354126163)"
39264795,05/23/2018 08:30:00 PM,05/24/2018 08:49:00 AM,DEP,Department of Environmental Protection,Water Quality,"Oil, Grease In Water (QD1)",,11106,34-43 CRESCENT STREET,CRESCENT STREET,34 AVE,35 AVE,,,ADDRESS,Astoria,,N/A,Closed,,05/24/2018 08:49:00 AM,01 QUEENS,QUEENS,1003319,216374,Unspecified,QUEENS,,,,,,,,40.760552546486934,-73.93116603917409,"(40.760552546486934, -73.93116603917409)"
39263740,05/23/2018 03:23:00 PM,06/06/2018 08:51:00 AM,DEP,Department of Environmental Protection,Water Quality,Cloudy Or Milky Water (QB1),,10039,260 WEST  153 STREET,WEST  153 STREET,MACOMBS PL,FREDERICK DOUGLASS BLVD,,,ADDRESS,NEW YORK,,N/A,Closed,,06/06/2018 08:51:00 AM,10 MANHATTAN,MANHATTAN,1001636,240731,Unspecified,MANHATTAN,,,,,,,,40.82740937295622,-73.93717815939885,"(40.82740937295622, -73.93717815939885)"
39263192,05/23/2018 06:40:00 PM,06/12/2018 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Chemical (QA2)",,10314,159 BENEDICT AVENUE,BENEDICT AVENUE,S GREENLEAF AVE,MUNDY AVE,,,ADDRESS,STATEN ISLAND,,N/A,Closed,,06/12/2018 12:00:00 AM,01 STATEN ISLAND,STATEN ISLAND,948833,166201,Unspecified,STATEN ISLAND,,,,,,,,40.62278904485764,-74.12758199814756,"(40.62278904485764, -74.12758199814756)"
39261735,05/22/2018 09:52:00 PM,06/06/2018 08:49:00 AM,DEP,Department of Environmental Protection,Water Quality,Cloudy Or Milky Water (QB1),,10030,106 WEST  137 STREET,WEST  137 STREET,LENOX AVE,ADAM CLAYTON POWELL JR BLVD,,,ADDRESS,NEW YORK,,N/A,Closed,,06/06/2018 08:49:00 AM,10 MANHATTAN,MANHATTAN,1000720,236443,Unspecified,MANHATTAN,,,,,,,,40.8156417831539,-73.94049851873596,"(40.8156417831539, -73.94049851873596)"
39261445,05/22/2018 04:05:00 PM,05/29/2018 01:17:00 PM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Chlorine (QA1)",,11218,1115 DORCHESTER ROAD,DORCHESTER ROAD,STRATFORD RD,WESTMINSTER RD,,,ADDRESS,BROOKLYN,,N/A,Closed,,05/29/2018 01:17:00 PM,14 BROOKLYN,BROOKLYN,993320,171619,Unspecified,BROOKLYN,,,,,,,,40.63772645993418,-73.96732000538408,"(40.63772645993418, -73.96732000538408)"
39261253,05/22/2018 08:55:00 AM,05/22/2018 02:02:00 PM,DEP,Department of Environmental Protection,Water Quality,"Cloudy Or Milky, Other (Use Comments) (QBZ)",,11225,75 OCEAN AVENUE,OCEAN AVENUE,BEND,E LAKE DR,,,ADDRESS,BROOKLYN,,N/A,Closed,,05/22/2018 02:02:00 PM,09 BROOKLYN,BROOKLYN,994540,180163,Unspecified,BROOKLYN,,,,,,,,40.66117655086587,-73.96291120602407,"(40.66117655086587, -73.96291120602407)"
39261167,05/22/2018 02:34:00 PM,06/07/2018 01:55:00 PM,DEP,Department of Environmental Protection,Water Quality,"Clear Water With Organisms (Insects, Worms) (QE2)",,10025,826 COLUMBUS AVENUE,COLUMBUS AVENUE,W 100 ST,W 103 ST,,,ADDRESS,NEW YORK,,N/A,Closed,,06/07/2018 01:55:00 PM,07 MANHATTAN,MANHATTAN,993814,229177,Unspecified,MANHATTAN,,,,,,,,40.79570879294333,-73.96545830336234,"(40.79570879294333, -73.96545830336234)"
